SearchID,AdID,Position,ObjectType,HistCTR,IsClick
30626952,2079442,2,2,,
23091080,24651470,8,1,,
103251291,59801,1,3,0.003272,0
31525940,13179322,2,2,,
104354030,27757243,6,1,,
90993653,19448909,2,2,,
97817688,11696987,2,2,,
1123159,12668347,7,1,,
92482356,8251916,1,3,0.001171,0
105915937,12268266,1,3,0.00596,0
48821413,26420720,2,2,,
36447502,30219337,6,1,,
48162735,27315979,2,1,,
5525025,31755934,8,1,,
73124484,21075480,2,2,,
72751810,36377433,1,3,0.002642,0
69819615,13235097,1,3,1e-05,0
20247289,34977909,1,3,0.034652,0
80963164,19246051,1,3,0.010451,0
3785142,14126631,7,3,0.003273,0
30382545,27227669,1,3,0.015906,0
53086033,34846812,2,1,,
95445845,32370130,7,3,0.001731,0
38099106,27406571,2,2,,
17587705,28838882,6,1,,
42132257,22859493,1,3,0.003221,0
87984207,30096274,8,1,,
97438858,31344567,1,3,0.00547,0
84349831,4891126,2,1,,
1475965,15277384,2,1,,
42738413,5512568,7,3,0.002203,0
24633124,30490796,2,1,,
50032697,30417366,8,1,,
42717728,19296443,1,3,0.00795,0
19674536,32465250,7,3,0.007752,0
50351057,19688464,8,1,,
55550747,4287930,8,1,,
52727522,16963149,6,1,,
68845783,8942140,7,3,0.001319,0
90366481,7854769,8,1,,
39348628,33462734,7,3,0.032214,0
104841125,6695182,7,1,,
40294470,32878244,6,1,,
110820535,36041728,6,1,,
39019023,19628438,1,3,0.023692,0
95977363,6546366,2,1,,
96286861,15464,1,3,0.008929,0
27874389,22273965,2,2,,
26804883,3986975,8,1,,
94414217,18995801,7,1,,
3309099,26002259,1,3,0.012707,0
76315029,36544114,7,3,0.001923,0
74239889,8707586,1,3,0.014929,0
6871777,30164610,2,1,,
13380109,29963687,6,1,,
61716599,3490144,2,2,,
66100150,22069179,6,1,,
90536839,32892951,1,3,0.00258,0
50248093,10841955,7,3,0.003063,0
89010521,16141675,2,1,,
84979734,8123482,8,1,,
55671958,20392383,6,1,,
55500767,11201332,1,3,0.002578,0
16611488,647414,1,3,0.000791,0
91496888,26421578,7,3,0.003587,0
41412964,26209259,1,3,0.001516,0
29376938,19226422,8,1,,
108170192,14826403,8,1,,
27320542,15545959,7,3,0.018971,0
43419104,34979749,6,1,,
90135363,29809622,7,3,0.00281,0
89861897,9091879,1,3,0.03137,0
109763061,28150458,7,3,0.001698,0
52466814,9071153,2,2,,
107336637,10400120,2,1,,
59014982,30006762,2,1,,
108269469,25822698,7,3,0.011905,0
96514432,27179979,8,1,,
90106899,21058977,1,3,0.008264,0
65683807,36715200,2,2,,
46893357,2785073,1,3,0.004108,0
87158864,2259250,1,3,0.00801,0
2307035,22847900,1,3,0.00276,0
93820884,28591143,7,3,0.002226,0
94835019,31275985,6,1,,
89954030,23119783,6,1,,
31723218,22847900,7,3,0.001863,0
97545323,13567995,1,3,0.002572,0
73063434,20068658,6,1,,
81054137,23811168,2,1,,
15632416,29760908,1,3,0.001734,0
3627213,18091145,2,2,,
21715139,5790345,7,1,,
94793779,14153448,6,1,,
90188213,21598023,7,1,,
78342775,28334726,1,3,0.010309,0
105912105,17463216,1,3,0.043897,0
29700029,14273661,7,3,0.025973,0
4606411,6143788,1,3,0.010691,0
84820555,5719945,1,3,0.003587,0
59261027,35480871,7,3,1e-05,0
24377195,26399498,2,1,,
38578530,6328975,6,1,,
13252704,33940616,1,3,0.013775,0
87799273,17851531,7,3,1e-05,0
69957923,35008375,1,3,0.029695,0
73170034,9246302,1,3,0.00156,0
101525515,6953082,1,3,0.008929,0
76029643,2497087,7,3,0.000116,0
34702472,2565885,7,3,0.001906,0
108062354,8087652,6,1,,
90511083,30522840,7,3,0.029989,0
36593414,10141286,1,3,0.001603,0
62441320,3623452,6,1,,
110242694,2009572,6,1,,
52792183,4017578,6,1,,
22006692,28443946,1,3,0.00753,0
62813346,34553260,7,3,0.006911,0
95383455,2117455,1,3,0.06301,0
47584347,7224132,2,1,,
110862483,30234505,8,1,,
33784966,31432718,1,3,0.040885,0
14605877,12985978,1,3,0.005517,0
85379871,4744857,2,1,,
43893187,23543148,8,1,,
50567332,1252460,2,2,,
67415591,2266368,6,1,,
17677815,12330812,2,1,,
57158094,6646830,8,1,,
61577211,16815646,8,1,,
96479271,21169676,8,1,,
61828513,33884202,6,1,,
35923016,9729469,2,1,,
41650102,20167123,8,1,,
86403057,16850684,1,3,0.002344,0
113758519,8481560,1,3,0.01087,0
54539696,12268266,7,3,0.003166,0
47619573,24856588,1,3,1e-05,0
88009267,29686806,1,3,0.004324,0
70833173,7876958,1,3,0.009573,0
83747212,31364907,7,3,0.005766,0
105413687,21895447,6,1,,
70444905,25993449,2,2,,
28842905,14511651,1,3,0.030516,0
21580511,8416493,8,1,,
36941223,29793656,7,3,0.002042,0
66075334,27077531,6,1,,
76619780,4826903,8,1,,
3966991,14665938,7,1,,
76533833,1264188,7,3,0.002579,0
108740326,16021240,8,1,,
52715611,17921636,2,2,,
2861370,22137269,2,2,,
67897196,27971125,2,1,,
94158785,19857667,1,3,0.002381,0
36535634,20058023,7,3,0.00474,0
113391084,16904117,7,3,0.002674,0
87628275,29192739,1,3,0.003947,0
94731969,17903136,7,3,0.003067,0
77108030,6232118,2,2,,
8571483,8031702,6,1,,
73936956,1634797,1,3,0.007331,0
57312291,16398342,7,3,0.007686,0
67914337,30309812,2,2,,
105594023,28564165,1,3,0.037149,0
102073065,11164103,1,3,0.020715,0
85783760,9358579,1,3,0.008091,0
58671221,14613378,7,3,0.040885,0
4586348,34394697,2,1,,
48742929,19824509,1,3,0.007515,0
63415936,32166107,1,3,1e-05,0
11833196,190170,6,1,,
95944722,30350647,6,1,,
11893206,36793018,2,2,,
75685488,22507967,8,1,,
95493185,4823153,7,1,,
66038725,33392198,6,1,,
22635147,15102909,7,3,0.05054,0
8512533,14365854,1,3,0.008101,0
31363368,34977909,7,3,0.003238,0
103941760,16865085,1,3,0.006502,0
90375711,14311682,2,2,,
64124690,5216934,1,3,0.000646,0
58798333,36313152,1,3,0.008618,0
89892737,25465465,2,2,,
53439111,9274596,2,1,,
76108661,34553609,7,1,,
34352930,4222341,7,3,0.003241,0
96496741,896140,7,3,0.003467,0
36208793,27865255,7,3,0.017234,0
747828,1222263,6,1,,
92788839,1634797,1,3,0.007252,0
57091805,1653253,7,3,0.015839,0
19136132,10633703,7,3,0.029701,0
56574465,15061677,8,1,,
22118048,2222299,6,1,,
55818798,4417716,1,3,0.003738,0
54175688,31793238,2,1,,
71331187,18099743,2,1,,
62134405,32460641,8,1,,
39279704,22878289,6,1,,
49475183,21704026,7,3,0.001694,0
33844115,36666901,6,1,,
76089365,20145067,1,3,0.023904,0
54614722,29967057,8,1,,
110288196,8711464,1,3,0.006579,0
69298439,11483167,8,1,,
42536905,8742292,1,3,0.016224,0
59273922,36521773,1,3,0.00611,0
74819989,20217182,1,3,0.036122,0
38818132,14676889,6,1,,
33452597,17119818,7,3,0.00239,0
111967700,22138552,1,3,0.005472,0
23914376,4980537,2,1,,
89578490,22721113,6,1,,
96810050,26598599,1,3,0.012908,0
29833479,25095787,1,3,0.091162,0
21833535,1999844,1,3,0.005039,0
7565308,32667385,1,3,1e-05,0
38385204,15587435,2,2,,
110966345,21520405,6,1,,
57783445,30088491,7,3,0.001046,0
1465138,7191763,7,3,0.004405,0
104087182,9063729,7,3,1e-05,0
97127637,2234278,2,2,,
27773904,25565444,2,1,,
36747579,22731548,2,2,,
36524789,35269353,1,3,0.031008,0
97830928,23520551,7,3,0.081764,0
85653508,25721254,2,2,,
8468401,27067825,6,1,,
61042695,23739534,6,1,,
14135684,32465594,1,3,0.00939,0
39632393,17453815,1,3,0.006243,0
796751,3245016,1,3,0.038188,0
25425890,18065787,1,3,0.002805,0
87440679,19313795,1,3,0.024688,0
78660764,8469894,8,1,,
15397107,6272061,8,1,,
24498530,9243773,2,1,,
46915094,825392,7,1,,
14196418,20375155,8,1,,
10955942,20119670,7,3,0.010569,0
18343097,14289836,2,1,,
19401557,22971257,2,2,,
89383387,25076561,6,1,,
90561772,28915015,6,1,,
48364128,4838888,6,1,,
107136155,15180077,2,1,,
11173356,20224135,8,1,,
16647224,20058023,7,3,0.008261,0
57784226,7798730,2,1,,
44748081,1096195,7,1,,
65279545,17719816,1,3,0.002243,0
18783200,15896395,7,3,0.035971,0
51154742,6501395,7,3,0.013333,0
31462274,13026050,7,3,0.001646,0
108654019,10226494,6,1,,
34030326,8152267,7,3,0.001044,0
113911871,17566621,7,1,,
97254919,19431463,6,1,,
54278889,15336344,1,3,0.017575,0
83800756,1961148,2,1,,
42396065,27949654,7,3,0.003673,0
111981532,32083943,2,2,,
69346395,27432936,2,2,,
107362487,12260000,6,1,,
60545473,27258019,2,1,,
94683705,28654306,2,2,,
89023273,1304111,2,1,,
67218208,15170156,2,1,,
79958104,9957582,8,1,,
81425194,12985978,1,3,0.005403,0
109904005,27927411,7,3,0.002732,0
44517762,16721317,2,2,,
16435920,4137593,2,2,,
67604246,12060005,7,3,0.005764,0
22686677,13601010,1,3,0.007185,0
34493623,36331597,2,1,,
106283319,22073729,8,1,,
11172169,3153212,2,1,,
46671724,33586049,7,3,0.005747,0
51838049,28330506,7,3,0.045094,0
80148093,2421528,6,1,,
9404081,34252297,6,1,,
97072270,17810773,7,3,0.01004,0
69095810,25934993,7,3,0.004242,0
109571411,3053032,7,3,0.002827,0
84272703,17477622,6,1,,
92604241,17832159,2,1,,
69388484,5597278,6,1,,
41839296,28533767,6,1,,
40269449,18959621,6,1,,
36554064,30040401,2,2,,
99530899,31196854,2,2,,
47509529,7640297,7,1,,
592408,21411714,7,3,0.031722,0
52649682,28210172,2,2,,
76407746,7753194,2,1,,
47040034,12546080,2,1,,
12615552,10043624,1,3,0.006289,0
31868771,19965326,7,3,0.00468,0
94022166,10033110,2,2,,
31700961,6851764,2,1,,
92032695,8080846,1,3,1e-05,0
53711359,22195045,2,2,,
80689935,31679831,7,3,0.002298,0
40386058,19764059,8,1,,
4744105,28082409,1,3,0.027573,0
110597261,36362541,1,3,0.006721,0
84005470,19536689,2,2,,
9221534,8301794,8,1,,
25935410,19425032,1,3,0.000902,0
4798263,33224113,2,1,,
113139590,33984348,2,1,,
105026077,27927411,7,3,0.0017,0
72468401,177351,6,1,,
70150208,20017196,7,3,0.009383,0
55538977,487400,7,3,0.001061,0
111791504,15223382,7,3,0.016661,0
3960063,10391728,1,3,0.011648,0
98731363,5116832,2,2,,
55579232,35933632,1,3,0.001593,0
96437512,22778924,7,3,0.000738,0
73848428,8302506,2,2,,
106636547,7453083,7,3,0.016635,0
44252522,16253748,8,1,,
47106370,11571238,2,2,,
15815244,16158753,2,2,,
81412540,18496972,1,3,0.007172,0
64202159,30535972,1,3,0.002052,0
17228890,18630543,7,3,0.003527,0
113318969,32568443,2,2,,
12288057,17226550,1,3,0.023692,0
85400324,9079950,8,1,,
82574261,19260278,1,3,0.002349,0
52079202,13226673,6,1,,
56047109,27947906,8,1,,
65869071,15764859,1,3,0.003409,0
63768152,28749352,1,3,0.014084,0
95408104,18558982,7,3,0.057629,0
5260423,21877639,7,3,0.002956,0
82711245,22138500,6,1,,
75277355,9726212,2,2,,
70594240,35030952,8,1,,
44740695,21689739,7,3,0.001854,0
103803701,1472955,2,1,,
60327180,8527664,7,3,0.031975,0
101652429,5734596,7,3,0.001925,0
54718004,33292532,8,1,,
74199986,13962742,2,1,,
40671562,29295367,7,3,0.000797,0
47360424,22519480,2,2,,
93922345,22698592,8,1,,
11132767,26558255,6,1,,
102145242,7233992,6,1,,
105499709,20985203,2,2,,
86297843,33476310,8,1,,
69916672,31968026,8,1,,
94521257,28986792,1,3,0.014603,0
93090984,21704177,1,3,0.002698,0
6998989,3605369,2,2,,
85137587,31250027,7,1,,
31815199,14238405,1,3,0.004292,0
45414457,16758600,6,1,,
49765883,23143342,1,3,0.004978,0
81890414,11925749,2,1,,
110563345,15661594,6,1,,
80990294,15430286,2,2,,
65373886,22927073,2,1,,
27836591,29802620,8,1,,
22958878,13322272,2,2,,
2759943,32747303,7,1,,
48800652,8959414,2,2,,
106572694,3426892,8,1,,
51448814,35451153,2,2,,
38062408,24952946,8,1,,
10081713,29925381,1,3,0.013133,0
112998981,15696020,6,1,,
30005559,29630054,6,1,,
15384808,34683419,7,1,,
73798144,1777041,8,1,,
108801576,29163214,1,3,0.004976,0
58853778,25963984,7,3,0.007611,0
17900097,19469916,7,3,0.026087,0
17463882,30428014,8,1,,
11955898,26936495,2,1,,
42162356,21469483,7,3,0.000712,0
35364965,31523958,1,3,0.002134,0
49114641,27129760,2,1,,
89830598,9989728,1,3,0.004321,0
98009695,15764859,1,3,0.005134,0
80910278,6234774,6,1,,
106774924,18504343,7,3,1e-05,0
112193306,13723492,1,3,0.00324,0
9455952,26595306,6,1,,
82795474,29290269,1,3,0.007438,0
10270250,22067752,1,3,0.007988,0
9664207,27467175,7,3,0.00374,0
74012941,23822391,2,1,,
8290958,19189905,1,3,0.001855,0
78779941,23563747,2,1,,
104178920,16799883,1,3,1e-05,0
25159871,32042478,1,3,0.008468,0
45659683,33155074,1,3,0.006054,0
68616335,31775880,6,1,,
60151702,5964809,2,1,,
26039111,2771320,8,1,,
96956131,32614843,6,1,,
91829274,16842812,2,2,,
32790693,22988256,2,1,,
78060067,29931312,7,3,0.004619,0
41761021,32351333,2,2,,
67865982,2648112,8,1,,
21212802,28907107,2,1,,
32516940,7609594,1,3,0.005132,0
44733752,19941994,1,3,0.001639,0
62511841,380724,7,3,0.003257,0
43780826,28420218,6,1,,
60981581,29323905,1,3,0.00641,0
22621032,17456449,1,3,0.01199,0
89016775,27371249,6,1,,
71627316,20322679,7,3,0.044535,0
45136651,15379142,6,1,,
90756864,10443235,8,1,,
29406918,20404746,1,3,0.015873,0
35049774,13308645,6,1,,
4337893,28506091,2,1,,
30463161,27741057,1,3,0.045094,0
111565436,5065481,7,3,1e-05,0
57983317,22016409,6,1,,
99062954,8148486,1,3,0.003534,0
821474,11084389,6,1,,
82195807,26859871,8,1,,
95837162,29613240,6,1,,
66013384,16938442,2,2,,
48287573,26352254,7,3,1e-05,0
81178976,4731824,7,3,0.003961,0
97029561,30407127,7,3,0.009807,0
20249605,21149684,2,1,,
112721066,22994132,1,3,0.002774,0
105896984,25755276,7,3,1e-05,0
106329964,4088762,8,1,,
60438804,17706523,6,1,,
4848803,14236438,2,2,,
55862309,27951642,1,3,0.032214,0
55228606,12022323,2,1,,
76584876,24939128,8,1,,
86617394,9396172,6,1,,
17484798,10323085,8,1,,
99744950,1468490,6,1,,
56886352,24165127,1,3,0.014531,0
43187325,33405856,2,1,,
66219312,1905511,8,1,,
49172041,23120191,2,1,,
40803801,7488529,8,1,,
40460432,15685566,1,3,0.002602,0
24016172,3689753,7,3,1e-05,0
31251215,18079382,6,1,,
72568237,18294552,1,3,0.006371,0
96905209,9809335,8,1,,
23016889,24170402,8,1,,
90691587,9449341,6,1,,
105831603,10542350,7,3,0.012195,0
49834289,2502209,1,3,0.004161,0
102577410,12732715,6,1,,
80035665,14395471,8,1,,
105804528,16302903,2,2,,
85558539,5662145,7,3,0.002545,0
100789418,29070447,1,3,0.00532,0
59200277,9840503,7,3,0.014371,0
52312222,11445406,2,2,,
71961569,22968355,7,3,0.004124,0
85783829,29274933,8,1,,
45712188,27207739,8,1,,
24598558,6497300,8,1,,
5798190,16025361,7,3,0.006329,0
76368524,13945716,2,1,,
82383552,13014484,1,3,0.003779,0
57312378,30178397,6,1,,
97797085,29677960,7,3,0.005011,0
21485077,20239925,1,3,0.002439,0
89662114,9392474,2,1,,
89672828,3007324,1,3,0.010399,0
83734223,31968084,2,1,,
65322382,14217580,7,3,0.002056,0
37903547,14729341,1,3,0.003849,0
75078976,30779526,2,2,,
76472391,22293485,8,1,,
27926901,33114925,6,1,,
62909639,1999844,7,3,0.001985,0
17085830,32872848,7,3,0.003257,0
14863179,2074214,7,3,0.003255,0
98823826,3594363,1,3,0.021442,0
91746030,12696758,8,1,,
23927411,9325207,2,1,,
62435831,1048108,7,3,0.007634,0
19353798,8419649,6,1,,
75346326,6720757,1,3,0.000709,0
10211904,14207907,1,3,0.00836,0
53724506,32046396,2,1,,
63030949,4704206,6,1,,
100529197,20753248,6,1,,
65645200,29793656,7,3,0.002613,0
35643357,5506846,6,1,,
63747798,29847368,2,2,,
51058816,9398859,6,1,,
110434271,14303985,7,1,,
110066774,29246401,1,3,0.003067,0
90169186,35785759,6,1,,
3582038,4908640,6,1,,
22952478,2517382,1,3,0.009607,0
61686160,7707134,8,1,,
84023492,3379543,2,2,,
84848068,33692693,1,3,0.004355,0
1841702,17911131,2,1,,
85931940,20058023,1,3,0.009737,0
33740334,6882173,1,3,0.003724,0
74836348,25321034,7,3,1e-05,0
69509971,33815944,7,1,,
51400713,8097024,1,3,0.005279,0
33671238,26643139,6,1,,
49201009,5368458,7,3,1e-05,0
34430382,27280770,2,1,,
93425180,7425708,2,2,,
78843198,18294552,1,3,0.009274,0
6225016,13417168,2,1,,
61551627,13451579,7,3,1e-05,0
112621776,13171262,6,1,,
4026887,5813774,2,2,,
35162265,4857137,6,1,,
84172795,25738905,7,3,0.002872,0
58220802,13699710,6,1,,
54038229,8001633,1,3,0.002778,0
89408644,33263604,2,1,,
52601691,26628931,8,1,,
4225742,8477219,1,3,0.012259,0
14746078,27927411,7,3,0.002467,0
40964610,27571148,1,3,0.006286,0
57025359,7253472,2,2,,
62467824,32985002,7,3,0.000191,0
104998126,16866855,6,1,,
4850932,13444496,7,3,0.003076,0
26696578,27473310,7,3,0.042224,0
97240490,23644166,6,1,,
5707463,33186997,6,1,,
36258386,32906964,1,3,0.005439,0
7372832,7191325,2,2,,
97689663,18294552,1,3,0.006658,0
18658629,27595199,7,3,0.005267,0
103044224,25678701,7,3,0.003237,0
30981280,16504518,1,3,0.00726,0
7511191,9413853,7,3,0.007811,0
21194625,20968508,8,1,,
56829391,19428620,7,3,0.004444,0
52184881,5397095,2,2,,
110954960,3240731,7,3,0.004114,0
103617083,7180990,1,3,0.003236,1
106505354,8352341,8,1,,
87136898,18554652,7,3,1e-05,0
71944844,25060101,1,3,0.002441,0
63772032,18835946,2,2,,
6417953,31138691,2,2,,
99686520,16804294,6,1,,
51628811,36704417,1,3,0.005138,0
91388663,35169467,8,1,,
33357597,6984440,1,3,0.008636,0
7892616,16108235,2,2,,
49346333,12025537,2,1,,
20398166,22216542,6,1,,
81114687,2938108,6,1,,
64894415,4328609,1,3,0.090066,0
56983012,33523908,8,2,,
47024666,27192515,6,1,,
37360391,27927411,7,3,0.001702,0
78521797,35934928,1,3,0.008673,0
21527157,36351492,6,1,,
60294367,22543517,2,1,,
10039608,9764129,1,3,0.001597,0
24784992,22435497,1,3,0.004867,0
89973744,19683476,6,1,,
11950626,2954782,1,3,0.025168,0
76778346,12371953,2,2,,
87182565,22971257,2,2,,
2487562,16567378,1,3,0.013679,0
52888932,23784764,7,3,0.006045,0
51625384,2774933,8,1,,
82784379,5531288,2,1,,
65250382,6115044,1,3,0.020569,0
101744198,35093994,8,1,,
73079627,14941191,2,1,,
7303390,32978517,1,3,0.0058,0
57150747,2843750,2,1,,
49911514,18551143,8,1,,
53262767,34686357,2,1,,
14682205,5053199,6,1,,
76088847,9283438,2,1,,
9500210,24013895,2,1,,
59444499,36053094,1,3,0.005988,0
93837337,33203479,1,3,0.010439,0
112902207,24096446,8,1,,
102720430,18247725,2,1,,
34160846,5968292,6,1,,
33260198,28070889,1,3,0.008235,0
70982891,13606657,2,1,,
64773803,4889352,1,3,0.002748,0
82112740,28778120,1,3,0.006512,0
71311451,9675634,7,3,0.00177,0
73217156,23333926,6,1,,
45760171,25149502,7,3,0.002,0
69870646,29290269,1,3,0.014562,0
56440886,375018,1,3,0.003401,0
110951121,25208798,1,3,0.001386,0
95179295,26108363,8,1,,
37049139,33319734,7,1,,
81606494,12868278,8,1,,
20258059,17552808,2,2,,
17682155,35578675,6,1,,
112396950,19991356,8,1,,
74651184,21757796,6,1,,
60216448,10004679,1,3,1.4e-05,0
85651228,11780817,8,1,,
85811392,21832322,2,2,,
103987419,34154066,1,3,0.207862,0
5160999,338915,2,1,,
629750,18716070,1,3,0.004224,0
75760197,19287166,1,3,0.009603,0
81335338,16628179,8,1,,
59187909,31565576,1,3,0.039465,0
28942909,6964121,7,3,0.003946,0
56076516,17483475,8,1,,
106584258,20809532,6,1,,
34108899,26716977,2,2,,
39277611,19410673,8,1,,
80157236,20145067,7,3,0.002206,0
22530912,14729341,7,3,0.003122,0
27419470,11037760,2,1,,
83513729,4062099,6,1,,
11064618,2819818,1,3,0.000552,0
25437954,2999002,7,3,0.00394,0
88390882,6892762,1,3,0.014959,0
5926289,7603161,8,1,,
92390334,3889674,1,3,0.015692,0
113586068,18492612,1,3,0.001894,0
88348644,11548379,1,3,0.014877,0
46146901,6115044,1,3,0.051195,0
73571938,24951559,2,2,,
32878746,24533016,2,1,,
57290375,32276530,8,1,,
37271338,28070889,1,3,0.009153,0
1984793,2362224,6,1,,
26663436,334924,7,3,1e-05,0
4956967,21480276,2,2,,
83187588,17932352,7,3,0.009991,0
92101131,9973547,6,1,,
76598746,17291153,6,1,,
112164841,27434704,2,1,,
24814482,4142394,7,3,0.001116,0
66189742,24728248,1,3,0.003543,0
53352007,14610991,7,3,0.003437,0
110412653,12799935,1,3,0.017234,0
16294547,32906964,7,3,0.003434,0
51477727,28770933,2,2,,
39137383,29358339,8,1,,
69327323,9843446,6,1,,
26845956,36703588,2,2,,
50346581,23143303,7,3,0.040262,0
15077850,15764859,7,3,0.00385,0
27259490,15444805,8,1,,
73778767,12954862,1,3,0.012357,0
21715658,27094351,8,1,,
31157728,6720757,1,3,0.001049,0
29307771,31929702,2,2,,
48481470,35057403,8,1,,
55020359,32379097,6,1,,
10138566,27710506,6,1,,
78876540,32157640,2,1,,
94630222,19558272,6,1,,
65482583,29693576,7,1,,
2330479,33040831,2,2,,
86550875,13589104,7,3,0.031915,0
74759227,752865,8,1,,
75467710,18447578,6,1,,
60413417,1634797,1,3,0.00866,0
62642087,36216959,8,1,,
19490963,4933846,7,3,0.006494,0
79510789,36118987,2,1,,
87128644,28918332,1,3,0.00942,0
50478402,34349082,1,3,0.001093,0
106919498,14999737,7,3,0.005039,0
103883152,25484612,7,3,0.027174,0
24952234,23050754,7,3,0.003171,0
103650716,17265668,8,1,,
71466641,30486870,7,3,0.001025,0
48028383,16443735,1,3,0.011591,0
16288834,33604824,6,1,,
80934950,9891414,8,1,,
91193003,15795243,8,1,,
53940697,31432718,7,3,0.00237,0
22903997,36704889,8,1,,
89781440,19021861,8,1,,
71482300,8027895,7,3,0.001779,0
61681010,1999844,7,3,0.001737,0
72937374,30534722,1,3,0.013642,0
51477751,27927411,7,3,0.001223,0
92796305,7520645,1,3,0.035453,0
66673770,19539962,8,1,,
97296083,5835167,1,3,0.001886,0
61365693,3007324,1,3,0.010076,0
112130147,13009789,8,1,,
46375848,31409551,2,1,,
35827649,14750136,7,3,0.004739,0
79770175,2450613,2,2,,
12189969,22599050,8,1,,
67875298,33420143,7,3,0.04455,0
47846113,20042215,8,1,,
108478204,3718525,1,3,0.022288,0
22230151,17926338,7,3,0.005127,0
26220561,15382475,2,2,,
40346887,6799793,2,2,,
63216006,20561545,2,1,,
71577464,29793656,7,3,0.002055,0
90475207,15545959,1,3,0.001277,0
16812967,20752876,1,3,0.006303,0
53766599,3980457,8,1,,
58190667,3077495,1,3,0.078083,0
60397971,22751249,6,1,,
31264577,23283263,1,3,0.003279,0
41379263,3663485,8,1,,
8176834,36244747,2,2,,
54105725,33129896,2,1,,
59487066,7364443,8,1,,
42515458,9977158,1,3,0.015755,0
12839355,4999209,6,1,,
47843350,36803017,8,1,,
72685027,28232984,7,3,0.00354,0
51200089,8867816,6,1,,
46149945,8492738,2,1,,
85810218,12328403,7,3,0.023157,0
15266473,22435497,1,3,0.007892,0
8082240,5402857,8,1,,
107608207,13795802,7,3,0.001276,0
77940250,18060160,6,1,,
39457066,28252070,7,3,0.003056,0
16105812,5972640,6,1,,
456395,2974446,8,1,,
109915825,27328133,8,1,,
91545123,10323092,1,3,0.045311,0
101607134,20311447,2,1,,
40249704,10856946,6,1,,
42177743,26392574,1,3,0.009283,0
52107164,30026643,2,2,,
31825576,15409214,2,1,,
83631668,36259114,1,3,0.00266,0
33040277,25604699,6,1,,
97550624,18294552,1,3,0.012678,0
95944645,30633357,2,1,,
77494626,6331869,8,1,,
62969030,25711668,2,1,,
34230831,17980825,6,1,,
55517168,21090347,6,1,,
46256976,6718074,1,3,0.007361,0
100052141,33072553,1,3,0.002884,0
41051483,11049533,1,3,0.043897,0
56414266,27627342,1,3,0.003472,0
100787076,3744016,2,1,,
42483262,4172203,8,1,,
76953751,1836066,6,1,,
34398279,32404862,6,1,,
106287873,11362281,1,3,0.014811,0
108879751,22647980,2,2,,
43118469,29358900,7,3,0.009678,0
41854462,28980242,1,3,0.008617,0
66732424,12109247,2,2,,
1959917,2954782,1,3,0.005409,0
107514328,14511651,1,3,0.0035,0
92112399,12530031,7,3,0.029701,0
66361421,36423136,8,1,,
86486416,19545328,2,2,,
45091669,24439834,7,3,0.006221,0
96023482,34084553,7,3,0.003892,0
2135169,6612281,2,1,,
45161596,14207907,1,3,0.007715,0
45874095,28591143,7,3,0.00191,0
76077915,20588457,8,1,,
46922651,36869307,6,1,,
86290927,32632767,7,3,0.000787,0
47759166,32661944,7,3,0.002905,0
95121862,35154592,1,3,0.007023,0
40782780,20970495,8,1,,
74444142,26857518,7,1,,
31590967,31140707,7,3,0.010493,0
26300113,32093996,7,3,0.002769,0
9622976,30341165,2,2,,
