SearchID,SearchDate,IPID,UserID,IsUserLoggedOn,SearchQuery,LocationID,CategoryID,SearchParams
6324898,2015-05-06 20:25:53,495284,1013093,1,,2230,60,{178:'Для девочек'}
98478599,2015-05-08 15:45:34,1405528,1271818,0,,2885,22,"{83:'Обувь', 175:'Женская одежда', 88:'40'}"
59760405,2015-05-19 00:13:19,1327080,1209008,0,,942,25,
85632284,2015-05-12 22:29:35,240722,922922,1,,813,47,{127:'Детские коляски'}
46647200,2015-05-17 11:52:17,605529,3518881,0,,79,38,"{45:'Кровати, диваны и кресла'}"
108751127,2015-04-30 08:26:56,1363462,4009176,0,,3939,12,
21853331,2015-05-18 13:49:56,21542,3368336,0,ноутбук,3960,0,
12418045,2015-05-16 19:01:39,687406,1798559,1,,1344,60,"{124:'25', 110:'Обувь', 178:'Для мальчиков'}"
58333094,2015-05-13 11:08:01,1201126,824496,1,,992,60,"{125:'28', 179:'Обувь', 178:'Для девочек'}"
85872560,2015-05-14 16:15:55,2192686,1359943,0,,3960,38,{45:'Шкафы и комоды'}
48049655,2015-05-02 21:07:07,1738080,3463952,1,sharp,3960,26,
42423348,2015-05-07 11:18:20,1804434,2803458,1,,3953,44,
58477629,2015-05-04 22:28:46,186906,3137507,0,,3679,47,
65472661,2015-05-19 17:56:18,1579863,534740,1,,3953,47,{127:'Детские коляски'}
18679590,2015-05-12 10:31:55,2220458,4066822,0,туфли,3953,60,"{125:'25', 179:'Обувь', 178:'Для девочек'}"
85269156,2015-05-12 15:31:49,116318,316652,1,,346,22,{175:'Мужская одежда'}
89165583,2015-05-10 06:58:25,1608377,1438993,0,,3109,27,
12543825,2015-05-17 21:40:12,1002832,4093560,0,,1338,44,
106652358,2015-04-29 22:33:24,9912,1341531,0,,4464,41,{143:'HTC'}
31871819,2015-05-14 09:25:16,1502361,2825244,1,,4111,26,"{132:'Акустика, колонки, сабвуферы'}"
85156246,2015-05-06 20:38:54,756832,3049045,0,,3953,60,"{112:'86-92 см (1-2 года)', 179:'Верхняя одежда', 178:'Для девочек'}"
67999121,2015-05-03 17:22:50,406729,1309741,0,,1338,12,
83967084,2015-04-30 09:41:18,701229,489864,0,,3350,49,
80405177,2015-05-02 08:32:23,44936,1256558,1,,3533,60,"{110:'Обувь', 178:'Для мальчиков'}"
82318490,2015-05-03 20:52:49,1916278,976751,0,,2430,53,
36972502,2015-05-03 09:18:15,1647160,1570014,0,range rover sport,3960,0,
93093308,2015-05-20 17:26:19,1227764,3803231,0,клетка,1337,0,
2389862,2015-05-16 19:39:42,1428374,671321,1,золотое кольцо,3960,0,
90239340,2015-05-05 18:02:26,863874,740873,0,,4429,49,
36317465,2015-05-03 10:11:38,2192883,3372329,0,,4547,50,
88281903,2015-05-15 19:51:17,2053459,2086338,1,шкаф купе,3960,38,{45:'Шкафы и комоды'}
4789149,2015-05-10 18:03:53,1756269,3925620,0,,3960,17,
1427662,2015-05-18 06:26:45,634714,4061259,0,,3137,38,{45:'Шкафы и комоды'}
103491435,2015-05-12 16:46:19,1237392,388934,0,,3540,50,
83945597,2015-05-13 11:48:28,556759,737808,0,,3137,38,"{45:'Кровати, диваны и кресла'}"
13144811,2015-05-06 14:51:55,927111,687349,0,золото,3960,11,{104:'Ювелирные изделия'}
107971020,2015-04-29 20:28:35,312371,3419009,0,,992,28,
7408676,2015-05-08 16:01:44,730160,4147988,1,,3915,38,
89163777,2015-04-29 00:39:18,558440,1777140,0,,3953,22,"{83:'Обувь', 175:'Женская одежда', 88:'38'}"
104755853,2015-05-02 23:35:30,1348951,3408587,0,сварочный аппарат,2885,0,
106363442,2015-05-09 14:35:32,2060365,3410696,0,,2474,47,{127:'Игрушки'}
31509150,2015-05-16 08:40:27,1964069,3251218,0,,1430,50,
101907667,2015-05-04 00:55:20,1607572,288095,0,,182,57,
12168730,2015-05-13 12:12:23,2181369,4129143,1,,3921,38,{45:'Столы и стулья'}
1142659,2015-05-12 08:47:23,2092019,2777303,0,,3172,49,
25616550,2015-04-28 15:57:15,190934,2212238,0,,4545,49,
46193479,2015-05-03 13:56:48,1596397,1238460,1,,2155,50,
78646946,2015-04-28 14:07:18,1904294,1612990,0,,3976,4,{156:'Дорожные'}
38850570,2015-05-19 15:14:31,2141262,1472405,0,,1653,12,
46696950,2015-04-30 11:34:56,2149585,493524,1,,3193,12,
64405676,2015-05-13 21:26:20,564613,3406174,0,,2231,17,
1731731,2015-05-04 21:20:49,106760,3308638,0,,3953,4,{156:'Детские'}
21438323,2015-05-14 12:44:10,1048929,4290427,0,,3960,38,"{45:'Предметы интерьера, искусство'}"
100027868,2015-05-12 12:04:34,81750,337222,1,,2885,47,{127:'Детская мебель'}
29846479,2015-05-06 00:23:27,2082174,559254,1,,4005,60,"{179:'Верхняя одежда', 178:'Для девочек'}"
36900311,2015-04-29 11:35:14,623997,818013,0,,2643,38,{45:'Кухонные гарнитуры'}
82652445,2015-05-01 14:02:19,865112,2043119,0,,2739,50,{44:'Садовая техника'}
3310128,2015-05-10 10:00:11,1667367,459752,0,,2885,53,
111773445,2015-04-27 20:09:24,2090033,2371880,0,,1361,26,
64406048,2015-04-30 22:36:10,740652,593599,0,,401,50,
11291440,2015-05-16 18:17:18,1921705,2519953,1,,3976,38,{45:'Другое'}
24624544,2015-05-14 12:26:30,552715,2629407,0,,3960,26,
35320157,2015-04-28 09:08:18,1392419,3273135,1,,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'39'}"
4854338,2015-05-12 00:01:51,2179707,2810348,0,палка для селфи,2230,0,
40707038,2015-05-13 10:50:28,316105,2606450,0,,4464,34,{5:'Тюнинг'}
102633493,2015-05-02 19:38:38,426325,4206613,1,,2300,1,
52803665,2015-05-12 20:10:27,669070,1524640,0,,1885,4,
49002657,2015-05-05 08:37:33,1860127,2646651,0,,3939,47,{127:'Детские коляски'}
108755981,2015-05-04 19:04:13,237937,3671109,0,,4005,12,
77807677,2015-04-30 21:49:03,1236197,675939,1,,4292,60,"{112:'98-104 см (2-4 года)', 179:'Верхняя одежда', 178:'Для девочек'}"
7861574,2015-04-29 17:31:32,2023217,2904435,0,,3960,47,{127:'Детские коляски'}
113212851,2015-05-18 17:58:17,1115809,516723,0,,3976,36,
95659429,2015-05-03 22:37:45,2260031,969485,0,прогулочная коляска,4471,0,
24972737,2015-05-09 16:30:03,237292,527972,0,,2643,16,
20093364,2015-04-29 21:32:30,1604982,2259300,0,nikon,3953,44,{223:'Объективы'}
11415155,2015-05-13 17:30:40,2040441,3070892,0,детские коляски,3928,0,
101935131,2015-05-01 08:32:25,1155456,3661913,1,,721,49,
94464843,2015-05-16 08:07:16,1567750,1377592,0,,942,38,{45:'Столы и стулья'}
40933399,2015-05-20 09:55:56,1129171,688103,0,,3129,12,
77055592,2015-05-11 20:45:03,1016319,3570916,0,,346,36,
71633172,2015-05-11 18:59:49,345469,2655180,0,мотоблок,3047,0,
1068920,2015-05-09 18:49:30,1861662,2917597,0,,4294,4,
6387858,2015-05-15 11:42:38,412889,2474075,0,,2840,38,{45:'Столы и стулья'}
18371880,2015-05-13 14:37:12,714915,2691987,0,,3953,4,{156:'Запчасти и аксессуары'}
85339995,2015-04-29 15:38:31,275749,1487858,1,,4215,22,
66744955,2015-05-05 18:51:21,1496107,1276480,0,,992,38,
48084086,2015-05-15 21:51:03,2203131,2955886,1,,3771,60,
64455603,2015-05-07 17:20:24,51297,2940901,0,шкаф-купе,3335,38,
72502772,2015-05-11 07:20:33,1205315,2362152,0,,1168,12,
52889033,2015-04-26 08:31:49,38997,2469212,0,,3177,34,
107597808,2015-05-02 21:10:25,1183653,3557891,1,,2277,3,
109569224,2015-05-15 06:30:13,1458171,2468000,0,,1294,36,
58741973,2015-05-02 15:58:18,1130846,282342,0,,2430,38,"{45:'Кровати, диваны и кресла'}"
41482139,2015-05-13 21:08:00,160982,971787,0,,346,3,
79692555,2015-05-19 17:40:18,1523610,2325932,0,,3856,38,
122361,2015-05-10 00:34:03,560349,3804426,0,,547,38,{45:'Текстиль и ковры'}
74904105,2015-04-28 06:23:12,308926,1863852,1,,2685,18,
107173779,2015-05-07 22:51:00,1713089,241440,0,,813,60,{178:'Для девочек'}
38977475,2015-04-29 23:03:30,2061295,3927010,1,,3928,60,"{119:'86-92 см (1-2 года)', 110:'Верхняя одежда', 178:'Для мальчиков'}"
53129845,2015-04-25 13:21:32,1899880,1531712,0,перфоратор,3953,50,{44:'Инструменты'}
67830383,2015-05-08 19:59:04,1502691,2170553,0,,3960,25,{140:'Планшеты'}
100084990,2015-05-04 18:42:35,196441,2200329,1,,3160,7,
102264433,2015-05-02 23:02:01,844011,678402,1,,924,50,
67711763,2015-05-03 19:03:10,2187801,1759362,0,,3960,12,
54777320,2015-05-05 14:37:49,2230446,1028242,1,,3976,22,
3436914,2015-05-13 20:01:53,995899,3399160,1,,2430,55,
25026598,2015-05-04 20:27:39,1863623,3650696,0,,2430,1,
57668482,2015-05-05 03:09:44,1399792,3478026,1,велосипед,3953,47,
77759675,2015-05-04 13:24:21,1446522,149654,1,,4464,34,"{598:'Для спецтехники', 5:'Запчасти'}"
46296695,2015-05-20 06:10:44,1954596,274101,0,,1945,36,
95951662,2015-05-01 21:43:27,422835,1574254,1,,1461,1,
38982416,2015-05-11 21:36:29,1468973,1639333,0,,2142,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Кузов'}"
94407065,2015-05-14 17:45:40,1263502,2862180,0,,3953,18,
57621110,2015-05-08 16:54:27,367578,4039930,0,,1636,26,{132:'Телевизоры и проекторы'}
112821004,2015-05-10 15:10:20,1231043,572260,0,,2885,22,"{91:'46–48 (L)', 83:'Рубашки и блузки', 175:'Женская одежда'}"
59505141,2015-05-08 11:42:04,318919,3677377,0,,2306,34,"{797:'16', 5:'Шины, диски и колёса', 709:'Диски'}"
95884097,2015-05-05 08:42:04,840558,2303108,0,,4172,7,
97328165,2015-05-15 12:48:59,185554,3718571,0,,609,38,{45:'Кухонные гарнитуры'}
9155806,2015-05-17 16:09:55,55687,1196976,0,,378,34,
13518284,2015-04-29 09:17:35,1114531,1559008,0,,3960,50,{44:'Инструменты'}
56899662,2015-05-02 14:26:25,2084264,2871755,1,,3960,50,{44:'Инструменты'}
88212541,2015-05-04 19:18:29,787175,2344268,0,,2474,26,"{132:'Акустика, колонки, сабвуферы'}"
59929879,2015-05-06 09:51:16,312638,1031920,0,,3960,41,{143:'HTC'}
56690442,2015-04-28 21:22:12,1485397,419393,1,,813,60,{178:'Для мальчиков'}
97616494,2015-05-01 15:47:25,685946,225667,0,,3973,47,
102030933,2015-05-05 00:20:14,635623,545317,0,продаю кухню,3960,38,{45:'Кухонные гарнитуры'}
81342266,2015-05-13 23:36:02,659663,949331,1,ветровка,3960,60,{178:'Для девочек'}
49348971,2015-05-04 14:04:20,1678259,2362571,0,,3928,13,
34362495,2015-04-28 00:35:01,1896146,597843,0,,3679,1,
48626097,2015-05-17 12:51:28,160507,3181970,1,,1344,47,{127:'Детская мебель'}
57997359,2015-05-20 03:26:00,427518,3515556,0,,2077,27,
57189084,2015-05-11 18:59:13,876188,883301,1,,3771,60,{178:'Для мальчиков'}
61145080,2015-05-13 00:29:26,1961970,1814726,1,с набором посуды,4111,0,
49147409,2015-05-12 09:16:06,324118,2301645,0,,4008,60,
58492616,2015-05-14 11:39:38,1882835,3681293,1,,1902,22,
71650698,2015-05-08 20:32:05,680991,3589240,0,,3953,9,
113446150,2015-04-30 16:31:26,2024032,1474515,0,,3335,51,"{485:'Картриджи', 148:'Расходные материалы'}"
95799319,2015-04-26 21:52:48,1374689,4022253,0,,227,38,
56029314,2015-05-12 05:35:49,1207509,327277,0,,3921,53,
46749159,2015-05-20 03:42:25,1956675,4195067,0,,72,4,{156:'Горные'}
25750606,2015-04-28 18:49:25,958884,2123292,0,,2643,41,{143:'HTC'}
84585224,2015-05-09 11:02:09,895772,3110893,0,,1676,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Трансмиссия и привод'}"
70305137,2015-05-05 21:38:49,1267880,3256368,1,,1123,12,
71450514,2015-05-01 16:02:13,2210928,1053373,1,очки,3953,28,
4988560,2015-05-11 14:58:22,735025,2419222,1,,2225,22,"{83:'Пиджаки и костюмы', 175:'Женская одежда'}"
25246852,2015-05-05 04:46:06,1855009,3215189,0,,2534,38,
64710833,2015-05-03 20:19:33,125922,1071583,0,yamaha,3960,26,"{132:'Акустика, колонки, сабвуферы'}"
11912562,2015-05-11 23:50:00,1137760,1771842,0,,3953,26,
104287509,2015-05-04 16:32:26,1072310,651672,0,,4145,12,
92330611,2015-05-08 17:17:19,12709,1502972,1,комод,3960,38,{45:'Шкафы и комоды'}
43302677,2015-05-01 17:49:55,1759789,1647641,0,,2270,38,{45:'Столы и стулья'}
55867960,2015-04-27 19:49:50,406077,212977,1,,1338,34,
43319016,2015-05-12 23:12:16,352303,516335,1,,3960,3,
99741416,2015-05-19 06:52:26,1195136,4192307,1,,926,38,
74224127,2015-04-30 15:11:26,1097291,2039897,1,,1788,47,{127:'Детские коляски'}
102358760,2015-05-19 14:27:49,1064384,2073889,1,стол,3960,38,{45:'Компьютерные столы и кресла'}
67336021,2015-04-30 14:06:07,1612064,2405458,0,,1261,34,{5:'Аудио- и видеотехника'}
106524697,2015-05-03 18:54:23,249324,577195,0,,4145,34,{5:'Аксессуары'}
49164935,2015-05-01 09:38:06,1105715,2133951,0,,3953,18,
50459581,2015-05-04 18:20:15,1481216,1570823,1,,3953,22,"{83:'Обувь', 175:'Женская одежда', 88:'38'}"
43273190,2015-05-05 12:38:56,2187028,3688206,0,компрессор,2885,34,
48335743,2015-05-12 19:56:32,1575011,1432333,1,,44,26,"{132:'Музыкальные центры, магнитолы'}"
104024268,2015-05-02 15:25:36,154324,4205446,0,,2142,60,"{478:'74-80 см (7-12 мес)', 179:'Трикотаж', 178:'Для девочек'}"
19390371,2015-05-09 21:15:09,1263674,2463407,0,детские каляски,1344,0,
75337883,2015-04-29 09:08:18,598229,3588159,0,,343,11,{104:'Часы'}
10571151,2015-05-06 21:46:01,1419195,36635,1,,343,47,{127:'Детские коляски'}
93385156,2015-05-14 21:37:06,1017339,289316,0,,3953,22,"{83:'Обувь', 175:'Женская одежда', 88:'39'}"
19998996,2015-05-07 19:15:33,741903,1549548,1,,2840,34,{5:'Прицепы'}
37699718,2015-05-14 08:43:58,837737,1614638,1,,380,47,
33662983,2015-05-15 08:09:39,1938259,1509030,0,,4268,34,
49291130,2015-04-25 20:42:55,1845624,1407209,0,,3802,27,"{486:'Холодильники и морозильные камеры', 48:'Для кухни'}"
72539272,2015-05-08 22:59:57,1777900,2333791,1,,1902,38,
60103563,2015-05-15 09:52:08,1270307,4058213,1,,1995,27,"{486:'Плиты', 48:'Для кухни'}"
61796458,2015-05-14 18:40:08,1548497,2801599,0,,3939,38,"{45:'Кровати, диваны и кресла'}"
101873713,2015-05-13 16:42:03,929754,2153337,1,,3104,22,"{83:'Платья и юбки', 175:'Женская одежда'}"
22269159,2015-05-17 13:23:00,1879515,685046,1,,414,60,"{115:'86-92 см (1-2 года)', 179:'Платья и юбки', 178:'Для девочек'}"
23029021,2015-05-18 14:55:54,2170411,1034330,0,,1788,1,
95427064,2015-05-06 23:43:25,67553,3970593,0,,2885,12,
19011410,2015-05-15 10:39:24,463477,690907,1,,2164,41,
8153133,2015-04-29 20:21:03,1602929,2568052,0,,1743,26,
76197220,2015-05-13 14:01:45,1390339,2033106,1,,2765,49,
77530558,2015-05-02 12:23:25,1322981,933095,1,,813,29,
61977742,2015-05-08 23:37:53,1876196,576982,0,,3193,44,
53766915,2015-04-28 16:24:41,1313649,2360810,0,,1636,22,"{176:'Верхняя одежда', 175:'Мужская одежда'}"
33237386,2015-05-08 15:37:07,292292,721192,0,,1261,41,{143:'iPhone'}
44726270,2015-05-11 10:55:22,856655,3035768,1,,3960,60,{178:'Для девочек'}
34347251,2015-04-27 23:00:35,1476498,3240309,0,,3129,60,"{114:'98-104 см (2-4 года)', 179:'Пижамы', 178:'Для девочек'}"
68780564,2015-05-03 09:37:09,120741,2664701,0,,2155,47,{127:'Детская мебель'}
38180068,2015-05-04 15:30:04,567575,2795708,0,,3018,41,{143:'Samsung'}
14499371,2015-05-11 10:32:54,1675782,3944751,0,,2850,50,{44:'Двери'}
38969491,2015-05-18 22:24:38,1404201,1292546,0,,3323,47,
28537868,2015-05-06 07:45:19,593395,4302744,0,,3129,27,{48:'Для кухни'}
79580732,2015-04-30 09:34:53,219194,62022,0,,3921,50,{44:'Инструменты'}
14547997,2015-05-07 20:54:12,1726455,670237,0,,3335,38,
69795269,2015-05-16 14:16:03,741996,3568001,0,,3350,22,"{83:'Купальники', 175:'Женская одежда', 490:'42–44 (S)'}"
106805788,2015-05-05 18:11:47,1711317,272733,0,,1340,27,"{487:'Стиральные машины', 48:'Для дома'}"
98257459,2015-04-27 13:45:51,1566235,3655015,0,стеллаж,3953,0,
73891400,2015-04-27 17:55:52,2205616,3035731,0,,992,50,
113821331,2015-04-30 15:03:16,2076304,81544,0,,3953,4,{156:'Дорожные'}
104601780,2015-04-30 15:48:09,185287,2042898,1,,1917,49,
86483034,2015-05-15 15:21:35,1726558,1275016,0,,1636,34,{5:'Аксессуары'}
34888972,2015-04-28 15:46:14,988603,4172828,0,,3953,22,{175:'Женская одежда'}
2144931,2015-05-05 11:26:34,1736883,1069981,0,ваз,1299,34,
108539911,2015-04-29 18:36:13,771310,1095205,0,,3953,41,{143:'Samsung'}
110277502,2015-05-06 22:33:42,52890,1932046,0,,3350,38,"{45:'Кровати, диваны и кресла'}"
13665971,2015-05-12 21:32:28,330447,982509,0,,1361,34,"{797:'14', 796:'Литые', 5:'Шины, диски и колёса', 709:'Диски'}"
106997073,2015-05-05 05:55:01,1422574,1823222,0,,3619,38,"{45:'Кровати, диваны и кресла'}"
109971259,2015-05-18 12:59:38,742468,2925441,1,samsung,3960,0,
55979397,2015-05-18 11:08:17,934051,3475402,0,,3137,34,"{598:'Для спецтехники', 5:'Запчасти'}"
58944445,2015-05-16 09:54:25,1843588,259992,0,,1270,36,
56934189,2015-05-14 15:14:32,243546,3603406,1,,992,28,
110602941,2015-05-05 19:37:56,1863105,1939537,1,,401,47,
55891281,2015-04-30 11:16:30,627936,524709,0,,720,41,{143:'LG'}
34784020,2015-04-25 10:11:59,785846,2210122,0,,346,4,
96609659,2015-05-03 22:43:29,577000,3314560,1,,3953,60,"{124:'23', 110:'Обувь', 178:'Для мальчиков'}"
54327231,2015-05-17 19:52:41,486656,2344226,0,,3662,27,"{487:'Стиральные машины', 48:'Для дома'}"
99254385,2015-05-05 01:14:34,280357,513254,0,ваз,3976,34,
45506831,2015-05-18 09:10:55,852530,3067286,0,,227,37,
33987989,2015-04-29 00:40:22,1413536,1596144,0,,3771,60,{178:'Для мальчиков'}
31902807,2015-04-30 14:27:49,2209894,3012883,0,,3540,4,
106832392,2015-05-14 21:04:12,1846686,410262,0,,230,38,"{45:'Кровати, диваны и кресла'}"
69048136,2015-05-01 17:18:39,1548727,3568171,0,,1653,22,{175:'Аксессуары'}
31806218,2015-04-26 19:24:06,692438,2418740,0,,2277,34,"{802:'16', 5:'Шины, диски и колёса', 709:'Колёса'}"
527261,2015-05-11 18:44:50,1696461,1040315,0,,2275,26,{132:'Усилители и ресиверы'}
39340838,2015-05-13 02:37:29,484243,4010777,0,,3960,28,
102696331,2015-05-12 08:40:49,1407098,1334101,0,,3976,49,
111796223,2015-05-15 14:18:22,2016045,3310197,0,,3505,12,
78649208,2015-05-05 11:24:00,862494,3180009,0,,813,4,
104483122,2015-05-14 14:17:37,86087,2349061,0,,4173,41,{143:'iPhone'}
13657365,2015-05-02 23:34:57,1120926,3020152,0,,3953,22,"{83:'Обувь', 175:'Женская одежда', 88:'37'}"
30179002,2015-05-16 15:22:43,1439111,270505,0,,1294,26,{132:'Усилители и ресиверы'}
12459802,2015-05-15 21:56:54,1986769,258470,1,,1152,38,{45:'Кухонные гарнитуры'}
44658261,2015-05-03 12:53:50,1584070,652522,0,,4145,1,
12074809,2015-05-04 09:40:34,1867361,3824296,1,,3953,27,"{487:'Стиральные машины', 48:'Для дома'}"
33260449,2015-05-10 22:34:40,2220520,1831460,0,,4294,34,
110073839,2015-04-26 22:48:21,1253785,4308912,1,,1294,50,
39022964,2015-04-27 15:22:24,1261233,3533763,0,,3022,22,"{83:'Обувь', 175:'Женская одежда', 88:'38'}"
57104810,2015-05-05 19:27:42,1320352,2566469,0,,2152,12,
13584903,2015-05-09 12:40:24,322206,1690359,0,,913,47,
82470889,2015-05-08 07:50:22,549362,2191062,1,,1161,28,
65718374,2015-05-06 22:20:12,527253,439262,1,,1667,22,"{83:'Обувь', 175:'Женская одежда', 88:'39'}"
48987385,2015-05-15 22:17:43,780186,3359475,1,,148,57,{130:'Косметика'}
62289542,2015-04-26 18:25:02,780835,2614127,0,,3771,28,
5513529,2015-04-28 21:56:06,416530,4184366,0,,2739,34,"{797:'15', 5:'Шины, диски и колёса', 709:'Диски'}"
82184127,2015-04-26 00:17:01,2125301,2614239,1,,3216,34,
109477495,2015-05-09 08:32:39,1404752,2240953,0,,1079,50,
54039298,2015-05-05 19:22:45,873385,3768897,0,,2840,22,"{83:'Свадебные платья', 175:'Женская одежда', 476:'44–46 (M)'}"
24859767,2015-05-19 04:59:38,833310,955178,0,,4173,17,
46352023,2015-05-06 08:09:33,1481661,3496251,1,,992,12,
84524380,2015-05-10 13:10:29,1171354,2914646,0,,3939,22,{175:'Женская одежда'}
15259581,2015-05-10 12:57:36,23681,3007508,1,,3960,12,
29705884,2015-05-06 00:40:15,2015642,3719339,0,ауди а4,2885,34,
49614384,2015-04-30 21:00:39,840622,1915334,0,,3952,34,
12664218,2015-05-16 22:10:25,866985,1902693,0,,826,17,
16011229,2015-04-26 13:26:34,1805142,683200,1,,992,34,"{5:'Шины, диски и колёса'}"
100299124,2015-05-15 12:38:21,321614,1376725,1,,3953,29,{483:'Переносные жёсткие диски'}
35466402,2015-05-05 17:46:31,813132,977186,0,,1294,37,
66438685,2015-04-30 21:53:17,322967,3067512,0,туфли,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'37'}"
91173576,2015-05-15 09:39:14,336343,2651647,0,,3771,29,"{631:'Системы охлаждения', 483:'Комплектующие'}"
34669401,2015-05-05 19:26:09,2042813,3357103,1,,3618,38,"{45:'Кровати, диваны и кресла'}"
91769501,2015-05-07 14:48:08,537273,3052394,1,старинный,3960,0,
79667709,2015-05-17 12:46:10,748951,321370,0,,3960,34,{5:'Аудио- и видеотехника'}
89630857,2015-05-07 07:54:19,1110301,2898058,0,,3022,49,
85656518,2015-05-12 21:50:14,1428106,1972680,0,,4235,34,{5:'Инструменты'}
30895709,2015-05-17 17:10:33,2235649,3113498,1,,721,49,
34910555,2015-05-17 15:50:09,1794658,52998,1,фоторамка,2885,44,
89894551,2015-05-17 16:34:18,1944133,626669,1,,3193,53,
97617148,2015-04-27 11:08:11,1872388,3085877,1,,3953,22,"{83:'Верхняя одежда', 175:'Женская одежда', 86:'42–44 (S)'}"
63613508,2015-05-08 08:29:08,694329,3776978,0,,992,60,"{110:'Другое', 178:'Для мальчиков'}"
100940300,2015-04-30 20:33:54,888633,3682639,1,,697,2,
9110087,2015-05-08 11:27:07,653997,810398,1,,3282,17,
26301949,2015-05-11 19:50:52,1528935,1185072,0,,4005,34,"{5:'Шины, диски и колёса'}"
42773943,2015-05-15 22:26:47,690633,1941639,0,,1636,27,
72438814,2015-05-11 19:35:29,1194624,1582360,0,,3960,26,
36858127,2015-05-04 23:59:11,582137,3370125,0,,44,17,
24474006,2015-05-10 00:00:22,32910,2519812,0,,2612,60,{178:'Для мальчиков'}
79227644,2015-05-05 09:27:54,232438,3706440,0,honda civic,3939,34,
49824013,2015-05-06 07:54:25,809219,3134244,0,,1194,34,"{5:'Шины, диски и колёса'}"
61622284,2015-05-07 17:44:29,2147972,1858972,0,,1294,34,{5:'Прицепы'}
61967014,2015-05-06 22:46:16,1476985,2694438,0,,209,41,
4356372,2015-04-28 22:22:39,1864277,1716306,0,,346,27,
81333500,2015-05-05 19:08:10,1920018,1081989,1,,2155,50,{44:'Инструменты'}
67896096,2015-05-11 12:10:13,122452,2785843,1,,1344,1,
94398995,2015-05-09 09:10:20,838688,360632,1,,2077,38,{45:'Столы и стулья'}
56016263,2015-05-01 20:57:34,859939,25582,0,,4545,38,{45:'Освещение'}
13857147,2015-05-11 18:16:24,1403858,2538773,0,,176,38,
88779420,2015-04-26 12:13:58,1717231,4331828,0,,2164,34,
55844231,2015-05-13 11:55:03,4032,3252892,1,,3725,47,{127:'Детские коляски'}
24060904,2015-05-16 23:14:56,543665,1700308,1,,3960,29,{483:'Мониторы'}
15950673,2015-05-12 08:20:49,1871937,2670915,0,,1261,13,{137:'Игровые приставки'}
93990362,2015-05-08 17:16:18,1571227,951710,1,туфли,2430,22,"{83:'Обувь', 175:'Женская одежда', 88:'39'}"
7170985,2015-05-08 17:28:59,2056031,2667620,0,,4480,50,
34867299,2015-05-17 19:08:07,718325,2958776,0,,4181,34,{5:'Багажники и фаркопы'}
28926371,2015-04-30 22:52:03,526606,2477089,1,,1885,27,"{486:'Холодильники и морозильные камеры', 48:'Для кухни'}"
