session_id,user_id,group,date,time_on_page,offers_viewed_per_session,offers_clicked_per_session
642717,673619,control,2026-05-01,45,12,2
573417,197627,control,2026-05-01,462,9,1
226882,454366,test,2026-05-01,1358,13,1
359947,722886,test,2026-05-01,2582,20,5
335612,743453,test,2026-05-01,1692,20,2
167136,606186,control,2026-05-01,952,9,1
454508,838726,control,2026-05-01,806,10,2
122056,132498,control,2026-05-01,388,15,2
716886,552275,test,2026-05-01,125,12,2
680828,785386,test,2026-05-01,278,6,1
341292,273012,control,2026-05-01,675,12,4
717024,736818,test,2026-05-01,439,13,0
330914,555292,test,2026-05-01,426,15,0
107540,264735,control,2026-05-01,247,17,5
174441,156157,test,2026-05-01,583,31,8
842225,206176,test,2026-05-01,2109,13,3
761759,447177,test,2026-05-01,580,19,5
161733,315535,test,2026-05-01,878,19,10
340062,299212,control,2026-05-01,86,10,2
170674,529161,test,2026-05-01,531,11,2
132938,831063,test,2026-05-01,1389,24,4
446479,681028,test,2026-05-01,1630,22,2
174299,857111,control,2026-05-01,447,11,1
639131,865433,test,2026-05-01,634,24,3
349565,666362,control,2026-05-01,603,16,3
392004,378150,test,2026-05-01,239,9,1
801474,792687,test,2026-05-01,1091,19,2
608993,395198,test,2026-05-01,240,20,6
324643,411847,control,2026-05-01,526,2,1
665427,349087,control,2026-05-01,140,6,0
238739,200575,test,2026-05-01,475,14,5
858490,152046,control,2026-05-01,1093,7,1
698782,511987,control,2026-05-01,924,19,7
704201,699544,test,2026-05-01,621,27,2
595631,676363,control,2026-05-01,198,14,3
354801,980651,test,2026-05-01,2326,15,2
922733,614796,control,2026-05-01,358,12,2
595948,261050,control,2026-05-01,3244,13,2
946721,157152,control,2026-05-01,1026,16,2
526833,478356,control,2026-05-01,645,10,2
299659,104000,test,2026-05-01,668,20,5
198907,548377,control,2026-05-01,253,1,0
201639,191884,test,2026-05-01,726,19,3
790993,408857,test,2026-05-01,17,21,6
551989,963918,control,2026-05-01,946,14,1
471507,794178,control,2026-05-01,488,17,3
544154,755455,control,2026-05-01,320,11,1
531071,729371,test,2026-05-01,674,31,8
589710,603660,control,2026-05-01,314,15,1
864491,309374,control,2026-05-01,185,4,0
156802,201698,test,2026-05-01,270,22,3
806073,126985,test,2026-05-01,1238,5,0
785197,317005,test,2026-05-01,809,26,4
777568,279130,test,2026-05-01,631,21,1
203198,769191,control,2026-05-01,231,21,2
163556,405986,control,2026-05-01,1019,5,2
522179,185916,control,2026-05-01,842,9,2
863587,596574,control,2026-05-01,329,7,1
455784,984756,test,2026-05-01,145,15,1
939482,221119,control,2026-05-01,323,13,2
214576,423331,test,2026-05-01,2395,22,8
360735,923002,control,2026-05-01,1985,6,2
300896,516774,test,2026-05-01,352,18,4
299448,593821,control,2026-05-01,279,5,0
662336,612855,test,2026-05-01,414,17,1
570405,793150,test,2026-05-01,80,13,0
246991,377877,control,2026-05-01,354,13,2
542374,195563,test,2026-05-01,1541,14,3
292401,773045,control,2026-05-01,3045,5,2
392075,670557,test,2026-05-01,2718,5,1
585100,506351,control,2026-05-01,650,12,1
361941,293862,test,2026-05-01,21,21,3
179046,489043,test,2026-05-01,53,24,7
564656,499974,test,2026-05-01,410,20,0
947272,487345,test,2026-05-02,1747,11,2
997546,295646,test,2026-05-02,626,17,2
677057,567429,test,2026-05-02,478,12,0
202664,146784,test,2026-05-02,831,27,3
153045,376085,test,2026-05-02,208,16,5
783823,561101,control,2026-05-02,2597,14,3
666847,587648,control,2026-05-02,1375,12,2
976638,376195,test,2026-05-02,91,17,1
115474,337232,control,2026-05-02,1183,5,1
197793,977740,control,2026-05-02,837,16,3
890170,381607,test,2026-05-02,350,18,3
989921,691655,control,2026-05-02,515,18,2
347861,164633,test,2026-05-02,574,4,1
274389,258471,control,2026-05-02,179,13,0
526156,888775,test,2026-05-02,136,14,4
609231,830302,control,2026-05-02,4421,16,2
604740,799891,control,2026-05-02,286,18,2
324130,201400,test,2026-05-02,713,19,1
520521,189870,test,2026-05-02,516,16,2
161483,800596,control,2026-05-02,916,13,3
272634,460491,test,2026-05-02,1166,28,1
497382,947438,control,2026-05-02,201,9,2
102260,667750,control,2026-05-02,472,9,3
509386,534096,control,2026-05-02,4010,14,2
378085,893202,control,2026-05-02,1743,10,2
922157,718372,control,2026-05-02,718,11,2
923267,338564,control,2026-05-02,342,16,2
577110,680493,test,2026-05-02,2428,12,4
399105,163946,test,2026-05-02,1067,12,1
543555,981639,test,2026-05-02,494,5,1
830429,505910,control,2026-05-02,174,15,3
865990,958160,control,2026-05-02,171,21,2
921414,647967,test,2026-05-02,760,13,2
682765,538967,control,2026-05-02,131,8,1
794022,661527,test,2026-05-02,390,10,1
853305,820442,test,2026-05-02,191,20,6
610311,597889,control,2026-05-02,584,10,1
262316,700534,test,2026-05-02,2145,21,2
299122,347088,control,2026-05-02,119,9,3
411120,599397,test,2026-05-02,387,13,3
328275,413369,control,2026-05-02,1550,10,1
161324,182790,control,2026-05-02,2245,9,2
707314,513982,test,2026-05-02,217,28,6
871476,995420,control,2026-05-02,180,17,0
668532,849003,control,2026-05-02,724,18,3
163918,136415,test,2026-05-02,117,12,2
884309,626491,test,2026-05-02,106,14,5
428838,698967,control,2026-05-02,192,9,1
159942,641922,test,2026-05-02,598,20,3
152578,939333,test,2026-05-02,526,14,3
712554,699245,test,2026-05-02,416,21,5
599948,810446,test,2026-05-02,899,23,1
627276,750403,control,2026-05-02,926,5,1
994141,254610,test,2026-05-02,395,13,1
656926,226124,test,2026-05-02,418,15,5
265080,893969,test,2026-05-02,204,22,4
159642,570852,test,2026-05-02,4683,25,2
632496,281276,control,2026-05-02,385,13,3
184002,275284,test,2026-05-02,1620,19,5
992697,322182,control,2026-05-02,248,5,0
294851,947732,test,2026-05-02,1051,11,2
171849,302087,test,2026-05-02,515,23,2
723939,232315,control,2026-05-02,531,17,1
171262,144748,test,2026-05-02,299,21,5
808011,543940,control,2026-05-02,726,12,1
346629,182175,control,2026-05-02,234,14,2
523389,816308,test,2026-05-02,371,15,4
225710,556542,test,2026-05-02,529,14,2
697347,311727,control,2026-05-02,2002,10,2
358175,962520,test,2026-05-02,241,16,3
707040,757694,test,2026-05-02,2276,19,3
723398,255061,test,2026-05-02,8363,13,4
141672,974625,test,2026-05-02,788,16,2
749468,723952,control,2026-05-02,255,12,2
185965,370413,test,2026-05-02,603,7,0
539589,435281,test,2026-05-02,738,22,2
789305,862422,control,2026-05-02,681,15,2
712024,946561,test,2026-05-02,1320,19,3
692683,170267,test,2026-05-02,2179,23,2
648177,191254,control,2026-05-02,712,20,2
431737,506951,test,2026-05-02,7925,21,3
373432,683390,control,2026-05-02,221,8,2
314181,516656,control,2026-05-02,177,21,6
802258,678870,test,2026-05-02,310,15,4
850981,441968,control,2026-05-02,563,15,4
429445,998235,test,2026-05-02,868,19,5
350280,389617,test,2026-05-02,886,19,8
378517,644932,control,2026-05-02,256,15,2
515011,580412,control,2026-05-02,959,10,0
237235,112964,test,2026-05-02,31,4,0
804318,924758,control,2026-05-02,1275,9,0
776856,834435,control,2026-05-02,1673,7,0
414569,753323,control,2026-05-02,465,16,0
579434,716118,control,2026-05-02,711,15,0
431535,647945,test,2026-05-02,234,19,5
888387,919656,test,2026-05-02,630,15,0
176066,539976,control,2026-05-02,1110,9,2
109767,217984,test,2026-05-02,291,15,4
580547,534574,control,2026-05-02,1932,8,1
751332,256911,test,2026-05-02,201,23,6
690341,255398,test,2026-05-02,1191,18,6
204837,694116,test,2026-05-02,178,16,0
176819,716493,control,2026-05-02,576,9,1
663750,710981,test,2026-05-02,1875,25,1
323508,895216,control,2026-05-02,352,14,3
630458,205071,test,2026-05-02,300,18,3
378082,210766,test,2026-05-02,1258,9,2
238890,690016,test,2026-05-02,1608,11,2
465962,917411,control,2026-05-02,942,14,3
172132,205896,test,2026-05-02,92,17,2
356150,923914,test,2026-05-02,1643,13,1
487477,399990,test,2026-05-02,840,15,3
398830,661652,test,2026-05-02,699,13,4
265409,460572,control,2026-05-02,248,11,1
559469,530849,control,2026-05-02,1131,3,1
974244,376967,test,2026-05-02,693,19,1
669605,501650,control,2026-05-02,388,7,1
837715,786594,control,2026-05-02,470,14,2
417212,609172,test,2026-05-02,1042,19,5
741390,699809,control,2026-05-02,553,6,0
946305,738543,control,2026-05-02,3325,5,1
785743,596025,test,2026-05-02,602,22,3
654634,139285,test,2026-05-02,622,23,4
108203,280564,control,2026-05-02,922,16,4
800305,388792,control,2026-05-02,376,15,2
956795,522548,test,2026-05-02,323,20,5
681542,250840,test,2026-05-02,700,11,3
413921,748276,test,2026-05-02,898,25,1
795613,738221,control,2026-05-02,887,10,0
208618,813884,control,2026-05-02,607,15,3
240814,827356,control,2026-05-02,362,1,0
377312,521233,test,2026-05-02,132,19,2
221035,140666,control,2026-05-02,405,16,3
212235,515018,control,2026-05-02,39,10,0
878480,447596,test,2026-05-02,353,26,5
680097,824056,test,2026-05-02,140,17,5
262998,349119,control,2026-05-02,862,13,3
385577,151685,control,2026-05-02,1360,9,1
395442,881975,test,2026-05-02,532,12,3
734210,598302,control,2026-05-02,461,7,0
320861,381631,test,2026-05-02,1058,17,3
852470,490532,control,2026-05-02,708,12,3
459536,121215,control,2026-05-02,1920,12,1
313487,454278,control,2026-05-02,290,22,3
820892,957091,control,2026-05-02,805,7,1
765046,932204,control,2026-05-02,174,12,2
994343,417776,test,2026-05-02,1012,31,2
376807,426053,control,2026-05-02,251,8,1
629959,393964,test,2026-05-02,583,18,3
612262,983788,test,2026-05-02,1365,21,4
363319,615500,test,2026-05-02,356,15,3
987204,999924,test,2026-05-02,180,15,2
153266,830000,control,2026-05-02,60,11,1
196781,818119,test,2026-05-02,180,22,3
765095,202988,control,2026-05-02,469,10,0
544151,339030,control,2026-05-02,212,17,3
969634,240913,test,2026-05-02,798,20,4
390120,415076,control,2026-05-02,2335,20,1
146228,879850,test,2026-05-02,175,20,5
103717,564635,test,2026-05-02,187,17,3
449759,911630,control,2026-05-02,98,8,0
908577,965938,test,2026-05-02,1484,26,7
237174,436454,test,2026-05-02,419,25,3
768061,382507,control,2026-05-02,382,6,2
374680,864201,control,2026-05-02,255,9,0
269430,537017,test,2026-05-02,263,21,5
877236,734366,control,2026-05-02,432,18,4
563298,776913,control,2026-05-02,122,14,3
678478,193624,control,2026-05-02,1183,14,1
839945,297064,test,2026-05-02,139,17,4
548462,563173,control,2026-05-02,469,8,1
688153,321659,control,2026-05-02,303,17,3
110139,963994,control,2026-05-02,804,9,2
217308,526949,control,2026-05-02,761,10,2
178898,876936,test,2026-05-02,514,15,6
824586,607993,test,2026-05-02,34,15,3
256294,896386,test,2026-05-02,401,17,3
672092,641590,test,2026-05-02,405,22,6
137778,492073,control,2026-05-03,298,13,3
975136,960899,test,2026-05-03,162,16,1
487151,158936,control,2026-05-03,415,9,1
710805,640299,control,2026-05-03,308,9,2
679364,929937,test,2026-05-03,347,18,5
255287,266694,test,2026-05-03,794,27,8
550664,168804,control,2026-05-03,1032,21,1
233636,426236,control,2026-05-03,178,20,3
143860,844037,test,2026-05-03,120,22,1
423232,631413,test,2026-05-03,902,11,3
482364,522979,control,2026-05-03,642,13,2
934794,242239,control,2026-05-03,237,10,1
141832,918430,test,2026-05-03,21,21,3
475190,992647,control,2026-05-03,201,12,3
320281,649753,test,2026-05-03,379,11,2
815198,696296,test,2026-05-03,2205,13,3
361650,130354,test,2026-05-03,452,15,3
799330,282176,test,2026-05-03,243,19,4
207786,302127,test,2026-05-03,1078,11,1
470858,973390,test,2026-05-03,282,25,3
918011,310477,test,2026-05-03,1315,19,3
687080,977633,test,2026-05-03,608,19,2
526117,160426,test,2026-05-03,190,17,4
750810,361609,control,2026-05-03,1518,10,2
885884,134677,test,2026-05-03,854,18,3
262060,578621,test,2026-05-03,1147,21,5
348237,153015,control,2026-05-03,524,20,0
270395,477880,control,2026-05-03,1183,10,1
938742,838862,test,2026-05-03,3198,17,3
950155,308781,control,2026-05-03,545,15,3
285652,387286,control,2026-05-03,267,17,4
532322,486244,control,2026-05-03,166,13,1
125990,963508,test,2026-05-03,913,22,5
288073,586768,control,2026-05-03,133,8,1
872343,629663,test,2026-05-03,2657,21,3
448321,516224,control,2026-05-03,71,4,0
920391,766275,control,2026-05-03,570,10,0
531712,229890,test,2026-05-03,1475,18,5
941204,814263,control,2026-05-03,270,13,2
802448,132047,test,2026-05-03,190,9,1
870763,353690,control,2026-05-03,23,14,2
950132,490559,test,2026-05-03,589,24,2
360222,612530,test,2026-05-03,948,28,3
379766,722899,test,2026-05-03,159,15,2
266931,567773,control,2026-05-03,9518,6,1
925622,286209,test,2026-05-03,109,5,0
835343,597635,test,2026-05-03,1354,21,5
213346,715388,test,2026-05-03,264,18,5
501124,678115,control,2026-05-03,168,16,3
140605,466749,control,2026-05-03,109,5,1
593554,460971,test,2026-05-03,1013,16,2
333238,271456,test,2026-05-03,752,11,2
309267,978343,test,2026-05-03,1312,13,3
956253,371224,test,2026-05-03,705,11,1
582662,885342,test,2026-05-03,1993,12,2
466643,971230,control,2026-05-03,281,14,2
420015,822312,test,2026-05-03,441,20,4
960394,194782,test,2026-05-03,423,12,3
933980,398916,test,2026-05-03,376,17,5
338651,128783,control,2026-05-03,430,12,2
333752,505343,control,2026-05-03,435,19,4
124813,152062,control,2026-05-03,142,15,2
792094,270820,test,2026-05-03,143,22,6
302511,995296,test,2026-05-03,4638,17,2
517821,700056,test,2026-05-03,317,14,1
444207,917711,test,2026-05-03,624,12,1
392136,324729,control,2026-05-03,187,16,1
172792,998746,control,2026-05-03,667,18,0
910891,332103,control,2026-05-03,181,8,1
392683,778827,control,2026-05-03,450,12,3
468203,336047,test,2026-05-03,837,14,4
772642,810614,control,2026-05-03,240,20,4
634150,316773,test,2026-05-03,337,24,7
519093,382154,test,2026-05-03,324,16,4
812526,783238,control,2026-05-03,500,21,3
984642,529399,test,2026-05-03,1107,24,4
662262,638214,test,2026-05-03,2100,11,3
447235,121026,test,2026-05-03,819,15,2
128941,918207,control,2026-05-03,916,6,0
220944,904858,control,2026-05-03,3073,16,2
373903,815338,test,2026-05-03,1440,21,5
287241,109330,control,2026-05-03,227,17,5
708792,597126,test,2026-05-03,634,22,2
378361,238741,test,2026-05-03,251,19,4
140115,778818,control,2026-05-03,1509,14,4
213668,281614,control,2026-05-03,1044,1,0
725550,730343,control,2026-05-03,655,14,4
555673,939767,test,2026-05-03,926,26,7
462479,108874,control,2026-05-03,472,17,4
863934,334639,control,2026-05-03,161,1,0
924629,364650,control,2026-05-03,287,13,3
428914,737894,test,2026-05-03,341,16,0
557592,944193,control,2026-05-03,562,13,3
735656,420297,control,2026-05-03,71,12,3
636265,847362,test,2026-05-03,109,17,3
221263,843826,test,2026-05-03,846,19,4
503906,773962,test,2026-05-03,654,28,6
704596,388755,control,2026-05-03,1352,15,2
299312,544393,control,2026-05-03,1027,9,1
367095,494763,control,2026-05-03,171,18,3
146542,992952,control,2026-05-03,783,3,1
843215,465648,control,2026-05-03,849,3,0
557239,581294,test,2026-05-03,120,14,0
101773,364239,test,2026-05-03,509,19,0
645175,328808,test,2026-05-03,248,16,0
945687,589368,test,2026-05-03,2717,18,2
664607,416822,test,2026-05-03,793,26,3
820221,810091,control,2026-05-03,996,8,0
854377,645928,test,2026-05-03,155,9,2
877991,964352,test,2026-05-03,119,16,2
872840,753898,test,2026-05-03,769,14,3
803204,516444,test,2026-05-03,2832,26,6
306606,712879,control,2026-05-03,438,18,1
481913,207282,control,2026-05-03,530,4,2
552248,107704,control,2026-05-03,1018,10,3
173372,636361,test,2026-05-03,519,25,4
796503,794530,control,2026-05-03,423,19,3
446239,984247,control,2026-05-03,155,7,2
753425,980152,control,2026-05-03,203,8,0
429164,492408,test,2026-05-03,522,19,3
795612,688730,control,2026-05-03,372,1,1
989208,778787,control,2026-05-03,250,10,3
230679,722615,control,2026-05-03,328,8,1
854717,738635,control,2026-05-03,452,22,6
414910,396408,test,2026-05-03,971,20,3
631756,412974,control,2026-05-03,579,10,1
424308,817659,test,2026-05-03,2810,18,2
799287,213355,control,2026-05-03,355,17,1
528231,605139,test,2026-05-03,1068,21,5
442027,166938,test,2026-05-03,601,12,4
521947,452618,test,2026-05-03,415,11,0
831076,389913,control,2026-05-03,362,12,3
410016,771712,test,2026-05-03,505,9,4
681343,440930,control,2026-05-03,144,9,1
233470,390334,control,2026-05-03,174,17,3
301158,373832,test,2026-05-03,748,11,1
540869,787991,test,2026-05-03,2185,29,7
797229,845635,test,2026-05-03,1962,15,1
497562,783112,control,2026-05-03,646,15,3
810219,413305,control,2026-05-03,1076,4,1
884475,297509,test,2026-05-03,1019,21,2
282480,257212,test,2026-05-03,1763,27,6
745414,642421,control,2026-05-03,638,22,3
696750,902658,control,2026-05-03,2192,12,3
415568,351974,control,2026-05-03,197,19,7
525800,159532,control,2026-05-03,116,13,1
674553,944554,test,2026-05-03,342,22,2
974224,998960,test,2026-05-03,533,14,1
100425,941339,test,2026-05-03,187,32,7
418635,949376,test,2026-05-03,158,6,2
400850,729180,test,2026-05-03,192,13,4
320392,523727,test,2026-05-03,650,21,2
550770,792616,test,2026-05-03,108,19,2
923927,435109,control,2026-05-03,67,12,4
708158,813824,control,2026-05-03,437,5,0
736130,246726,control,2026-05-03,258,12,1
786508,856320,control,2026-05-04,790,13,2
437902,126691,test,2026-05-04,1178,17,2
587575,787237,control,2026-05-04,830,13,0
563246,621533,test,2026-05-04,111,16,3
563638,409963,control,2026-05-04,492,8,2
808446,372028,test,2026-05-04,1225,21,2
324082,538897,control,2026-05-04,63,11,1
636004,524252,test,2026-05-04,464,18,3
